probe_id	orf_id	wormbase_id	gene_symbol
cea2.d.45799	Y57E12B.1	WBGene00021961	
cea2.d.46685	Y71G12B.22	WBGene00022157	
cea2.d.46753	Y73B3A.11	WBGene00022213	
cea2.d.47606	ZC239.7	WBGene00001541	gcy-15
cea2.d.49215	ZK488.7	WBGene00004177	pqn-98
cea2.i.00160	C01A2.6	WBGene00007218	
cea2.i.00253	C04F12.9	WBGene00007303	rnh-1.3
cea2.i.01089	C49G9.1	WBGene00008216	mec-19
cea2.i.01177	C54G4.3	WBGene00008313	
cea2.i.01953	F26A3.5	WBGene00009143	
cea2.i.02032	F28B3.4	WBGene00017885	dip-2
cea2.i.02852	F48C1.7	WBGene00004965	spe-11
cea2.i.02956	F53G12.9	WBGene00018774	
cea2.i.03721	K09H9.3	WBGene00000626	col-49
cea2.i.03938	M01G12.10	WBGene00010823	
cea2.i.04681	T15D6.7	WBGene00011781	glct-3
cea2.i.04772	T22E7.2	WBGene00020694	dhhc-11
cea2.i.05571	Y18D10A.10	WBGene00012480	clec-104
cea2.i.05677	Y23H5B.5	WBGene00021276	
cea2.i.06569	Y53F4B.19	WBGene00013165	
cea2.i.06647	Y53H1A.3	WBGene00013179	clec-100
cea2.i.07630	ZK39.7	WBGene00013932	clec-98
cea2.i.07776	AH6.11	WBGene00005033	sra-7
cea2.i.08705	C07D10.4	WBGene00003526	nas-7
cea2.i.08778	C08E3.6	WBGene00015598	fbxa-163
cea2.i.09476	C26D10.4	WBGene00007745	
cea2.i.09558	C28F5.1	WBGene00016183	
cea2.i.10301	C54A12.2	WBGene00016909	frpr-4
cea2.i.10439	D2062.2	WBGene00005549	sri-37
cea2.i.11182	F14D2.7	WBGene00017455	
cea2.i.11292	F16G10.14	WBGene00017528	
cea2.i.11963	F35C5.4	WBGene00009392	
cea2.i.12079	F36H5.3	WBGene00018102	math-28
cea2.i.12676	F46C5.7	WBGene00009782	
cea2.i.13464	F59E12.8	WBGene00019123	
cea2.i.13556	H17B01.2	WBGene00000646	
cea2.i.14362	R03H10.5	WBGene00019857	
cea2.i.14464	R05H5.2	WBGene00000389	cdc-25.4
cea2.i.15105	T07D3.6	WBGene00020309	
cea2.i.15210	T10B9.10	WBGene00000372	cyp-13A7
cea2.i.15983	T25E4.2	WBGene00020804	
cea2.i.16072	W01D2.4	WBGene00012181	srt-11
cea2.i.16807	Y39G8B.4	WBGene00012725	sre-47
cea2.i.16937	Y47G7B.2	WBGene00021654	
cea2.i.17632	Y8A9A.5	WBGene00021174	fbxb-99
cea2.i.17711	ZC204.9	WBGene00022559	fbxb-20
cea2.i.18438	B0524.6	WBGene00015245	
cea2.i.18544	C03C10.5	WBGene00007271	
cea2.i.19344	F23F12.10	WBGene00005076	srb-11
cea2.i.20377	R10E11.7	WBGene00011219	srxa-10
cea2.i.20540	R13F6.3	WBGene00005712	srv-1
cea2.i.21473	Y22D7AL.13	WBGene00021251	
cea2.i.21585	Y22D7AR.5	WBGene00021259	glb-30
cea2.i.22481	Y75B8A.21	WBGene00013555	fbxa-89
cea2.i.22566	Y82E9BL.16	WBGene00022332	fbxa-20
cea2.i.23194	C02B10.2	WBGene00015327	snpn-1
cea2.i.23300	C06E4.1	WBGene00015530	
cea2.i.23989	C33A12.14	WBGene00005664	sru-1
cea2.i.24080	C33H5.6	WBGene00016373	swd-2.1
cea2.i.24902	C54E4.3	WBGene00001557	gcy-37
cea2.i.24994	E03H12.3	WBGene00017110	clec-176
cea2.i.25674	F29B9.10	WBGene00017924	mrps-21
cea2.i.25777	F35F11.3	WBGene00018066	
cea2.i.26429	F49F1.6	WBGene00018646	mul-1
cea2.i.26559	F55G11.9	WBGene00000021	abt-3
cea2.i.27334	K08B4.5	WBGene00019517	
cea2.i.28002	R13A1.8	WBGene00020045	glb-23
cea2.i.28763	W02A2.5	WBGene00012190	
cea2.i.28860	W03G1.5	WBGene00021011	
cea2.i.29664	Y37E11B.6	WBGene00021378	
cea2.i.29833	Y38F2AR.3	WBGene00021421	
cea2.i.30597	Y55F3AM.5	WBGene00021923	
cea2.i.31485	Y9C9A.2	WBGene00006209	str-164
cea2.i.31545	ZC477.10	WBGene00022622	
cea2.i.32196	C01B7.5	WBGene00015276	
cea2.i.32295	C02E7.10	WBGene00015342	
cea2.i.32846	C08E8.3	WBGene00007439	
cea2.i.32959	C10G8.3	WBGene00015682	
cea2.i.33717	C24B5.5	WBGene00004107	pqn-16
cea2.i.34295	C37H5.1	WBGene00003591	nex-4
cea2.i.34377	C41G6.10	WBGene00005537	sri-25
cea2.i.34969	C50H11.9	WBGene00006271	str-244
cea2.i.35080	C53A3.1	WBGene00016891	
cea2.i.35752	F02C9.1	WBGene00017172	
cea2.i.35868	F07C3.9	WBGene00017197	
cea2.i.36373	F13A2.2	WBGene00017411	
cea2.i.36464	F13A7.7	WBGene00008725	
cea2.i.37111	F20D6.6	WBGene00017636	
cea2.i.37215	F21C10.6	WBGene00017656	
cea2.i.37953	F28H7.8	WBGene00009241	
cea2.i.38053	F31F4.14	WBGene00005688	sru-25
cea2.i.38680	F39G3.5	WBGene00018210	
cea2.i.38792	F40D4.9	WBGene00009569	srz-66
cea2.i.39379	F47D2.6	WBGene00018557	srt-38
cea2.i.39467	F48G7.1	WBGene00005621	srj-37
cea2.i.40098	F57E7.3	WBGene00005356	srh-139
cea2.i.40200	F57G8.8	WBGene00005747	srv-36
cea2.i.40809	K01D12.13	WBGene00010472	cdr-7
cea2.i.40891	K02E2.2	WBGene00001700	grd-11
cea2.i.41442	K08F9.1	WBGene00010684	
cea2.i.41530	K09D9.2	WBGene00019565	cyp-35A3
cea2.i.42251	R04B5.1	WBGene00011001	
cea2.i.42352	R05D8.9	WBGene00019886	
cea2.i.43090	R13H4.6	WBGene00011264	
cea2.i.43185	T01C4.6	WBGene00005927	srx-36
cea2.i.43922	T06E6.5	WBGene00011539	fbxa-135
cea2.i.44013	T07H8.6	WBGene00004229	ptr-15
cea2.i.44675	T18H9.6	WBGene00007023	mdt-27
cea2.i.44793	T19H12.4	WBGene00005111	srd-33
cea2.i.45410	T27B7.6	WBGene00020852	nhr-228
cea2.i.45508	T28A11.4	WBGene00020871	
cea2.i.46171	Y113G7B.18	WBGene00007017	mdt-17
cea2.i.46244	Y116F11B.13	WBGene00013828	
cea2.i.47005	Y40B10A.3	WBGene00021488	srab-23
cea2.i.47097	Y43F8B.11	WBGene00012821	
cea2.i.47695	Y58A7A.2	WBGene00021976	
cea2.i.47772	Y59A8B.5	WBGene00005511	srh-307
cea2.i.48434	ZC15.5	WBGene00013833	
cea2.i.48550	ZC266.1	WBGene00022584	
cea2.i.49224	ZK682.7	WBGene00022790	
cea2.i.50106	C07B5.2	WBGene00007407	
cea2.i.50235	C09G1.3	WBGene00007485	
cea2.i.51065	C26G2.2	WBGene00007751	
cea2.i.51875	C52B9.6	WBGene00006680	twk-28
cea2.i.51989	C54G7.1	WBGene00016933	
cea2.i.52665	F15A2.3	WBGene00005129	srd-51
cea2.i.52739	F16F9.3	WBGene00017514	
cea2.i.53390	F31F6.2	WBGene00009301	
cea2.i.53522	F35B3.4	WBGene00018031	
cea2.i.54251	F49H12.2	WBGene00018653	
cea2.i.54341	F52E10.4	WBGene00009935	
cea2.i.55261	H05L03.3	WBGene00019160	
cea2.i.56064	M163.7	WBGene00010939	
cea2.i.56233	R03E9.2	WBGene00019843	
cea2.i.56888	T07C5.3	WBGene00011566	nhr-214
cea2.i.56998	T08G2.2	WBGene00020365	
cea2.i.57763	T26C11.5	WBGene00000462	ceh-41
cea2.i.57853	W03G11.3	WBGene00012225	
cea2.i.58636	ZK470.6	WBGene00022747	
cea2.i.58714	ZK816.4	WBGene00022827	
cea2.i.58854	F21H12.3	WBGene00017685	
cea2.i.58868	F40D4.10	WBGene00009570	srz-65
cea2.i.58991	T25B9.2	WBGene00012008	
cea2.i.59008	W08F4.10	WBGene00021099	
cea2.i.59474	K05D4.3	WBGene00010588	srz-14
cea2.i.59515	M117.5	WBGene00010921	fbxb-4
cea2.i.59807	Y82E9BL.1	WBGene00022318	
cea2.i.59893	ZK6.2	WBGene00022637	nhr-252
cea2.i.59990	Y69E1A.4	WBGene00013476	
cea2.i.60483	C17B7.1	WBGene00006126	str-63
cea2.p.00811	B0511.8	WBGene00044321	mrps-30
cea2.p.01020	C01G8.4	WBGene00001022	dnj-4
cea2.p.03300	C34B2.9	WBGene00016394	
cea2.p.06228	E01A2.6	WBGene00017088	akir-1
cea2.p.06455	F08A8.1	WBGene00008564	acox-1
cea2.p.08805	F30A10.2	WBGene00009261	
cea2.p.101003	Y38C1AA.5	WBGene00021396	cutl-24
cea2.p.102527	Y55F3AR.1	WBGene00021932	
cea2.p.102749	Y57G11C.4	WBGene00013302	vti-1
cea2.p.104467	Y73F8A.15	WBGene00013524	
cea2.p.104710	Y77E11A.2	WBGene00022307	
cea2.p.106263	ZK792.5	WBGene00014078	
cea2.p.106467	ZK829.10	WBGene00004907	snf-8
cea2.p.108082	C06H2.2	WBGene00007386	
cea2.p.108236	C08D8.1	WBGene00015592	
cea2.p.110337	C35A5.3	WBGene00007947	
cea2.p.11061	F49B2.2	WBGene00009862	fbxb-67
cea2.p.11206	F52B5.2	WBGene00009921	
cea2.p.112258	F09F3.5	WBGene00008627	
cea2.p.114319	F22E12.2	WBGene00009059	chw-1
cea2.p.115940	F35E8.2	WBGene00009418	
cea2.p.116243	F36H9.3	WBGene00000976	dhs-13
cea2.p.118074	F54D11.4	WBGene00018814	
cea2.p.118756	F55A11.6	WBGene00010079	
cea2.p.122315	R10D12.8	WBGene00011189	
cea2.p.122519	R11H6.2	WBGene00011250	
cea2.p.124269	T08G5.3	WBGene00011624	
cea2.p.124520	T10G3.3	WBGene00011694	
cea2.p.126210	T28F12.3	WBGene00004947	sos-1
cea2.p.126465	W02F12.4	WBGene00020949	
cea2.p.128120	Y39B6A.38	WBGene00012696	reps-1
cea2.p.128325	Y40B10A.9	WBGene00021493	
cea2.p.129900	Y69H2.7	WBGene00013482	
cea2.p.130015	Y75B12B.1	WBGene00013567	
cea2.p.131687	ZK1005.1	WBGene00004053	tank-1
cea2.p.131860	B0198.2	WBGene00007115	
cea2.p.13381	K02B12.4	WBGene00010497	axl-1
cea2.p.136200	C35B8.1	WBGene00000748	col-175
cea2.p.138516	D1005.6	WBGene00017000	
cea2.p.138833	E03E2.1	WBGene00017108	cyp-43A1
cea2.p.141240	F17H10.1	WBGene00008925	
cea2.p.141556	F19H6.5	WBGene00008960	
cea2.p.144099	F40F4.1	WBGene00018236	fbxb-71
cea2.p.144396	F41E7.5	WBGene00009621	fipr-21
cea2.p.146738	F53A9.4	WBGene00018727	jbts-14
cea2.p.146967	F53H4.4	WBGene00010009	
cea2.p.149597	K08A8.3	WBGene00000591	coh-1
cea2.p.151507	R07E3.6	WBGene00011107	
cea2.p.151863	R09F10.4	WBGene00002127	inx-5
cea2.p.154239	T18D3.1	WBGene00011820	
cea2.p.154486	T20F7.6	WBGene00020633	aakg-2
cea2.p.15662	R12E2.9	WBGene00002137	inx-15
cea2.p.156984	ZC373.1	WBGene00013866	cbs-1
cea2.p.158113	T21E8.1	WBGene00004000	pgp-6
cea2.p.158136	ZC204.7	WBGene00022557	fbxb-15
cea2.p.158408	Y38H6C.7	WBGene00012620	
cea2.p.158832	C25D7.1	WBGene00007714	
cea2.p.17962	T23G11.3	WBGene00001595	gld-1
cea2.p.18195	T24D1.3	WBGene00011986	
cea2.p.19901	Y18D10A.11	WBGene00012481	
cea2.p.20057	Y23H5A.2	WBGene00021269	
cea2.p.22000	Y48G8AL.10	WBGene00021689	
cea2.p.22186	Y51F10.10	WBGene00021771	
cea2.p.23883	Y71G12B.15	WBGene00006702	ubc-3
cea2.p.25911	ZC123.4	WBGene00022519	
cea2.p.26079	ZC434.3	WBGene00013891	
cea2.p.28717	C01F1.3	WBGene00015298	
cea2.p.29007	C04G6.7	WBGene00015457	
cea2.p.31128	C18H9.7	WBGene00004507	rpy-1
cea2.p.31465	C26D10.6	WBGene00007746	
cea2.p.33309	C50D2.6	WBGene00016809	
cea2.p.33653	C56C10.1	WBGene00016960	vps-33.2
cea2.p.35656	F09C12.8	WBGene00017279	
cea2.p.35943	F10E7.8	WBGene00017349	farl-11
cea2.p.38259	F31D5.4	WBGene00017947	mth-2
cea2.p.38499	F34D6.1	WBGene00018021	
cea2.p.40278	F52H3.3	WBGene00009945	bath-38
cea2.p.40599	F54C9.4	WBGene00000615	col-38
cea2.p.42443	K05F1.9	WBGene00019410	
cea2.p.42780	K09E4.2	WBGene00010720	
cea2.p.47084	T14D7.1	WBGene00011767	agxt-1
cea2.p.47367	T19H5.4	WBGene00011849	
cea2.p.49008	W09H1.5	WBGene00012375	mecr-1
cea2.p.49239	Y17G7B.3	WBGene00012459	
cea2.p.51097	Y51B9A.3	WBGene00013085	mpz-6
cea2.p.53320	ZK546.1	WBGene00006997	zyg-12
cea2.p.53514	ZK673.3	WBGene00003038	lin-56
cea2.p.55066	B0361.2	WBGene00015156	
cea2.p.55279	B0393.5	WBGene00007170	
cea2.p.57131	C14B1.10	WBGene00007581	alkb-8
cea2.p.57600	C16C10.2	WBGene00007623	
cea2.p.59186	C36E8.4	WBGene00007983	
cea2.p.59446	C39B5.12	WBGene00005142	srd-65
cea2.p.61365	F10E9.5	WBGene00017357	
cea2.p.61618	F11H8.2	WBGene00017389	lgc-38
cea2.p.63882	F42A10.6	WBGene00018342	
cea2.p.64192	F43C1.3	WBGene00009648	zhit-2
cea2.p.66526	F57B9.2	WBGene00002845	let-711
cea2.p.66803	F59A2.2	WBGene00010302	
cea2.p.69158	M01F1.7	WBGene00010813	pitp-1
cea2.p.71858	R144.7	WBGene00020097	larp-1
cea2.p.72154	T03F6.3	WBGene00011399	
cea2.p.74242	T20G5.10	WBGene00011872	blos-1
cea2.p.74528	T23G5.3	WBGene00011963	
cea2.p.76267	Y39A1A.16	WBGene00012654	
cea2.p.76477	Y39A3A.2	WBGene00021433	
cea2.p.77953	Y48A6C.4	WBGene00012977	
cea2.p.78291	Y49E10.24	WBGene00013043	arrd-16
cea2.p.79820	Y71H2AM.11	WBGene00022176	
cea2.p.80025	Y75B8A.1	WBGene00004024	php-3
cea2.p.82290	ZK507.3	WBGene00013979	
cea2.p.85123	C01G5.8	WBGene00015310	fan-1
cea2.p.86892	C27D8.2	WBGene00007778	
cea2.p.87154	C30H6.3	WBGene00007821	clec-201
cea2.p.88987	C50F7.4	WBGene00016844	sucg-1
cea2.p.89266	C54E4.4	WBGene00016919	
cea2.p.91298	F27C8.5	WBGene00009185	
cea2.p.91501	F29C4.6	WBGene00017928	tut-1
cea2.p.93566	F53B2.6	WBGene00001820	ham-1
cea2.p.93968	F55G1.4	WBGene00018900	rod-1
cea2.p.95517	K08D8.4	WBGene00010658	
cea2.p.95726	K08F4.2	WBGene00010677	gtbp-1
cea2.p.97569	T02D1.5	WBGene00004061	pmp-4
cea2.p.97807	T05A12.4	WBGene00020235	
cea2.3.00017	AC3.2	WBGene00007070	ugt-49
cea2.3.05348	C36A4.8	WBGene00000264	brc-1
cea2.3.07868	D2092.5	WBGene00017066	maco-1
cea2.3.10829	F20C5.6	WBGene00008971	
cea2.3.16612	F55G11.7	WBGene00010127	
cea2.3.19887	K10G9.1	WBGene00010755	vglu-2
cea2.3.25049	T25D1.2	WBGene00020794	
cea2.3.27579	Y37A1B.13	WBGene00006598	tor-2
cea2.c.00455	C09D4.5	WBGene00004431	rpl-19
cea2.c.01951	D2092.8	WBGene00017068	
cea2.c.02190	F13G3.5	WBGene00008765	ttx-7
cea2.c.03778	F52A8.1	WBGene00009915	
cea2.c.04016	F54C1.2	WBGene00001050	dom-3
cea2.c.05797	T05F1.10	WBGene00000968	dhs-4
cea2.c.07327	Y40B1B.7	WBGene00012739	
cea2.c.07603	Y53H1B.2	WBGene00013181	
cea2.c.09514	C05C10.5	WBGene00007332	
cea2.c.09736	C08B11.4	WBGene00003813	nrf-6
cea2.c.11314	F15A4.10	WBGene00008844	
cea2.c.11589	F23F1.8	WBGene00004504	rpt-4
cea2.c.13520	M28.10	WBGene00010901	
cea2.c.14907	Y1H11.2	WBGene00001783	gst-35
cea2.c.15195	Y38F1A.8	WBGene00012610	
cea2.c.16565	C03B8.4	WBGene00003002	lin-13
cea2.c.17055	C07A9.2	WBGene00007400	
cea2.c.18783	F23F12.12	WBGene00017756	
cea2.c.19068	F35G12.2	WBGene00009440	idhg-1
cea2.c.21861	M01F1.3	WBGene00010809	
cea2.c.23704	Y37D8A.19	WBGene00012557	
cea2.c.25078	ZC395.7	WBGene00001823	hap-1
cea2.c.25263	ZK632.6	WBGene00000567	cnx-1
cea2.c.26642	C33A12.4	WBGene00007883	
cea2.c.26810	C37F5.1	WBGene00002990	lin-1
cea2.c.28621	F38A5.7	WBGene00018164	sup-36
cea2.c.28816	F44D12.5	WBGene00009682	msd-2
cea2.c.30585	R07H5.8	WBGene00011128	
cea2.c.30724	T01B11.3	WBGene00006374	syx-4
cea2.c.31995	Y54G2A.3	WBGene00021869	vrp-1
cea2.c.32169	Y57G11C.3	WBGene00013301	
cea2.c.33506	C02E7.7	WBGene00015340	
cea2.c.33729	C10F3.6	WBGene00001508	fut-8
cea2.c.35091	E02C12.5	WBGene00001665	gpa-3
cea2.c.35201	F10D2.9	WBGene00001399	fat-7
cea2.c.36452	F47C10.2	WBGene00018540	btb-21
cea2.c.36544	F53F4.13	WBGene00009995	
cea2.c.38149	T05B4.2	WBGene00003647	nhr-57
cea2.c.38477	T09E8.3	WBGene00011648	cni-1
cea2.c.40148	Y75B12B.5	WBGene00000879	cyn-3
cea2.c.41829	C25B8.4	WBGene00016088	clec-266
cea2.c.42080	C40C9.1	WBGene00006673	twk-20
cea2.c.44839	F40E10.3	WBGene00000822	csq-1
cea2.c.44952	F42F12.4	WBGene00009636	
cea2.c.47115	M153.1	WBGene00010924	
cea2.c.47280	R07E3.5	WBGene00011106	acl-5
cea2.c.49371	ZK1073.1	WBGene00014213	
cea2.c.49393	F07D10.1	WBGene00004423	rpl-11.2
cea2.d.01322	C42C1.12	WBGene00016590	
cea2.d.01404	C45B2.2	WBGene00016659	
cea2.d.04190	F58E1.10	WBGene00019041	fbxc-22
cea2.d.04721	M01A8.2	WBGene00010796	clip-1
cea2.d.05390	T07C12.3	WBGene00005620	srj-35
cea2.d.06180	W02B12.7	WBGene00002227	klp-17
cea2.d.06662	Y43F4B.9	WBGene00012806	
cea2.d.06710	Y46H3B.2	WBGene00021603	clec-204
cea2.d.07370	Y82E9BL.2	WBGene00022319	
cea2.d.08179	F53A9.2	WBGene00018725	kreg-1
cea2.d.08186	Y102A5C.22	WBGene00005945	srx-54
cea2.d.09877	C01B4.1	WBGene00006283	str-257
cea2.d.13969	C24B9.13	WBGene00005916	srx-25
cea2.d.14190	C25A6.1	WBGene00016081	
cea2.d.15318	C33E10.10	WBGene00016350	
cea2.d.15366	C34B2.3	WBGene00016388	
cea2.d.16393	C42C1.3	WBGene00016581	
cea2.d.17836	C55B7.3	WBGene00016942	
cea2.d.19372	F09C6.5	WBGene00005650	srp-9
cea2.d.20936	F16G10.8	WBGene00017523	
cea2.d.23685	F35F10.2	WBGene00018053	srbc-3
cea2.d.24744	F40D4.3	WBGene00005375	srh-159
cea2.d.24836	F41B5.3	WBGene00018261	cyp-33C5
cea2.d.26382	F46A8.5	WBGene00009748	
cea2.d.31011	H12I13.5	WBGene00019193	
cea2.d.33696	M01D1.1	WBGene00006195	str-148
cea2.d.34933	R09B3.3	WBGene00011156	
cea2.d.36725	T04A11.3	WBGene00011418	igdb-1
cea2.d.38537	T10C6.13	WBGene00001876	his-2
cea2.d.38704	T12F5.2	WBGene00020467	
cea2.d.40728	T28H11.5	WBGene00006051	ssq-2
cea2.d.41742	W10G11.4	WBGene00021137	
cea2.d.41817	Y102A5C.31	WBGene00005348	srh-131
cea2.d.44127	Y45G12C.12	WBGene00006200	str-154
cea2.d.65627	T23B7.1	WBGene00020715	nspd-4
cea2.i.00062	B0207.6	WBGene00015029	
cea2.i.00861	C41D11.6	WBGene00016565	
cea2.i.00974	C47F8.7	WBGene00008163	
cea2.i.01707	F15H9.4	WBGene00005528	sri-16
cea2.i.01832	F22D6.9	WBGene00009054	
cea2.i.02624	F41D3.3	WBGene00009608	nhr-265
cea2.i.02700	F46F11.7	WBGene00018510	
cea2.i.03473	K03E5.3	WBGene00019362	cdk-2
cea2.i.03602	K07A1.1	WBGene00010608	
cea2.i.04470	T09E11.1	WBGene00011650	glct-1
cea2.i.04592	T10B11.7	WBGene00020403	
cea2.i.05368	W06D4.5	WBGene00006503	snx-3
cea2.i.05499	Y106G6G.3	WBGene00013712	dlc-6
cea2.i.06457	Y53C10A.10	WBGene00013138	
cea2.i.07381	Y95B8A.4	WBGene00022385	
cea2.i.07511	ZK1053.3	WBGene00014198	
cea2.i.08614	C04G6.2	WBGene00015453	
cea2.i.09227	C17F4.2	WBGene00015910	
cea2.i.10200	C50E10.10	WBGene00016833	sre-51
cea2.i.10864	F10E7.6	WBGene00017348	
cea2.i.11052	F12E12.6	WBGene00017407	
cea2.i.11751	F29C12.4	WBGene00009246	gfm-1
cea2.i.11898	F33H12.1	WBGene00018019	
cea2.i.12485	F44F4.3	WBGene00009702	
cea2.i.12577	F45C12.16	WBGene00018447	irld-9
cea2.i.13269	F58A6.11	WBGene00019028	srb-13
cea2.i.13348	F58E1.6	WBGene00003734	nhx-6
cea2.i.14112	K12H6.10	WBGene00044368	
cea2.i.14233	M151.2	WBGene00019794	
cea2.i.14869	T05A7.3	WBGene00020221	
cea2.i.14957	T05C12.1	WBGene00011466	
cea2.i.15742	T22C8.1	WBGene00011922	
cea2.i.15865	T24E12.2	WBGene00020772	
cea2.i.16566	Y25C1A.3	WBGene00021290	clec-122
cea2.i.16699	Y38E10A.20	WBGene00012598	
cea2.i.17441	Y57A10A.28	WBGene00013268	
cea2.i.17539	Y57A10C.7	WBGene00013285	dct-12
cea2.i.18145	ZK930.2	WBGene00014152	
cea2.i.18293	ZK970.7	WBGene00014173	
cea2.i.19113	C45G9.8	WBGene00016679	
cea2.i.19184	D1044.7	WBGene00017032	
cea2.i.20139	K08E3.2	WBGene00010662	
cea2.i.20239	M03C11.6	WBGene00010843	
cea2.i.21231	W05B2.4	WBGene00012272	dhc-4
cea2.i.21391	Y111B2A.4	WBGene00013730	sql-1
cea2.i.22266	Y67D2.1	WBGene00022051	rep-1
cea2.i.22377	Y71H2AM.2	WBGene00022167	
cea2.i.23035	B0212.2	WBGene00015036	sre-5
cea2.i.23116	B0545.4	WBGene00015247	
cea2.i.23797	C27B7.6	WBGene00007763	
cea2.i.23901	C30H6.2	WBGene00006487	tag-141
cea2.i.24693	C49C8.2	WBGene00016766	
cea2.i.24801	C50F7.6	WBGene00016846	
cea2.i.25474	F20C5.4	WBGene00008969	
cea2.i.25588	F25H8.6	WBGene00009133	bed-3
cea2.i.26333	F49C12.2	WBGene00009872	
cea2.i.26990	H25K10.2	WBGene00010412	
